"title","job_url","location","date_posted","num_employees","job_url_direct","company_url_direct"
"ReactJS Developer - Candidates from Bay Area (SFO)","https://www.indeed.com/viewjob?jk=27cc96e7a2285efa","San Jose, CA, US","2025-05-03","","http://www.indeed.com/job/reactjs-developer-candidates-bay-area-sfo-27cc96e7a2285efa",""
"Machine Learning Engineer, Large Behavior Models - Data","https://www.indeed.com/viewjob?jk=937b9791beaddcb7","Los Altos, CA, US","2025-05-02","51 to 200","https://jobs.lever.co/tri/99f239e4-192d-4f93-9b00-ff8dee31517e","https://www.tri.global"
"Staff Software Engineer, Parallel File System, AI/ML","https://www.indeed.com/viewjob?jk=6b21f696a30b8932","Sunnyvale, CA, US","2025-05-02","10,000+","https://careers.google.com/jobs/results/78857695116829382-staff-software-engineer/","http://goo.gle/3ygdkgv"
"Senior Staff Software Engineer, Platform Security","https://www.indeed.com/viewjob?jk=8ef845b4f702486a","San Francisco, CA, US","2025-05-02","10,000+","https://careers.google.com/jobs/results/125151945009570502-senior-staff-software-engineer/","http://goo.gle/3ygdkgv"
"Senior Software Engineer, GPU Performance, Google Scale","https://www.indeed.com/viewjob?jk=980a9ec017110355","Mountain View, CA, US","2025-05-02","10,000+","https://careers.google.com/jobs/results/94100637129548486-senior-software-engineer/","http://goo.gle/3ygdkgv"
"Software Engineer, Manufacturing Software Systems","https://www.indeed.com/viewjob?jk=172082c2e640bb16","Mountain View, CA, US","2025-05-02","10,000+","https://careers.google.com/jobs/results/137073898049938118-software-engineer/","http://goo.gle/3ygdkgv"
"Senior Software Engineer, GPU Performance, Google Scale","https://www.indeed.com/viewjob?jk=9be25b157a064e8f","Sunnyvale, CA, US","2025-05-02","10,000+","https://careers.google.com/jobs/results/94100637129548486-senior-software-engineer/","http://goo.gle/3ygdkgv"
"Front-End Software Developer, Developer Experience","https://www.indeed.com/viewjob?jk=7f8df29f6ee24cb8","Sunnyvale, CA, US","2025-05-02","10,000+","https://careers.google.com/jobs/results/91091273804325574-front-end-software-developer/","http://goo.gle/3ygdkgv"
"Senior Staff Software Engineer, Platform Security","https://www.indeed.com/viewjob?jk=552c376923507a51","Mountain View, CA, US","2025-05-02","10,000+","https://careers.google.com/jobs/results/125151945009570502-senior-staff-software-engineer/","http://goo.gle/3ygdkgv"
"Sr. Software Quality Engineer - Contract","https://www.indeed.com/viewjob?jk=cbaa559ddb4b4476","San Mateo, CA, US","2025-05-02","5,001 to 10,000","https://grnh.se/bb2e37a34us","http://www.playstation.com/en-gb/corporate/playstation-careers"
"Internship, Wireless Connectivity Software QA Engineer, Self-Driving (Summer 2025)","https://www.indeed.com/viewjob?jk=d61e862dda98cadc","Palo Alto, CA, US","2025-05-02","10,000+","https://www.tesla.com/careers/search/job/242310?source=Indeed","https://www.tesla.com"
"Senior Software Engineer, Pixel","https://www.indeed.com/viewjob?jk=23b5b756305fe9eb","Mountain View, CA, US","2025-05-02","10,000+","https://careers.google.com/jobs/results/142829532183700166-senior-software-engineer/","http://goo.gle/3ygdkgv"
"Senior Software Engineer, AI/ML, Google Ads","https://www.indeed.com/viewjob?jk=3a2c2c84de813189","Mountain View, CA, US","2025-05-02","10,000+","https://careers.google.com/jobs/results/72229800369889990-senior-software-engineer/","http://goo.gle/3ygdkgv"
"Robotics Software Engineer - Intern (Summer/Fall)","https://www.indeed.com/viewjob?jk=ac71d46aec9d10af","San Jose, CA, US","2025-05-02","","https://ats.rippling.com/bonsairoboticsmain/jobs/b01aaf53-c05c-4e57-a109-d8a44fac366c?jobSite=Indeed",""
"Full Stack Engineer-an AI startup","https://www.indeed.com/viewjob?jk=f35da18913abfa96","Palo Alto, CA, US","2025-05-02","","http://www.indeed.com/job/full-stack-engineer-ai-startup-f35da18913abfa96",""
"Principal DevOps Engineer (Cortex)","https://www.indeed.com/viewjob?jk=09781472a126b38f","Santa Clara, CA, US","2025-05-02","10,000+","https://jobs.smartrecruiters.com/PaloAltoNetworks2/744000057354115-principal-devops-engineer-cortex-","https://jobs.paloaltonetworks.com/"
"Sr Staff IT Software Engineer, SAP ABAP","https://www.indeed.com/viewjob?jk=2f340eb0985bdc72","Santa Clara, CA, US","2025-05-02","10,000+","https://jobs.smartrecruiters.com/PaloAltoNetworks2/744000057348166-sr-staff-it-software-engineer-sap-abap","https://jobs.paloaltonetworks.com/"
"Lead SW Engineer","https://www.indeed.com/viewjob?jk=3249c35c05b8106d","Foster City, CA, US","2025-05-02","10,000+","https://jobs.smartrecruiters.com/Visa/744000057343243-lead-sw-engineer","http://www.visa.com"
"Staff Software Engineer - Backend","https://www.indeed.com/viewjob?jk=b37b5afbc272f7de","Foster City, CA, US","2025-05-02","10,000+","https://jobs.smartrecruiters.com/Visa/744000057333814-staff-software-engineer-backend","http://www.visa.com"
"Software Engineer II - Security and Compliance","https://www.indeed.com/viewjob?jk=13e5318cf2186e3f","San Francisco, CA, US","2025-05-02","51 to 200","https://ats.rippling.com/rippling/jobs/66cd27b3-7b40-4ca1-824b-71820a716bb2?jobSite=Indeed","http://www.rippling.com"
"Staff Data Software Engineer","https://www.indeed.com/viewjob?jk=793166faabe0ee65","San Francisco, CA, US","2025-05-02","51 to 200","https://ats.rippling.com/rippling/jobs/b7280e68-74a3-4813-9c6f-00a4be49f79c?jobSite=Indeed","http://www.rippling.com"
".NET Programmer Analyst- Martinez, CA - W2 - GC &USC","https://www.indeed.com/viewjob?jk=3e57f257095ecbc4","Martinez, CA, US","2025-05-02","","http://www.indeed.com/job/net-programmer-analyst-martinez-ca-w2-gc-usc-3e57f257095ecbc4",""
"Sr. Java Developer","https://www.indeed.com/viewjob?jk=161fd8b07d619583","San Jose, CA, US","2025-05-02","","http://www.indeed.com/job/sr-java-developer-161fd8b07d619583",""
"Senior Software Engineer (Backend) - HRIS Platform","https://www.indeed.com/viewjob?jk=f780ab5260c412df","San Francisco, CA, US","2025-05-02","51 to 200","https://ats.rippling.com/rippling/jobs/4bff60f1-d72b-4462-92a1-da383cce8f22?jobSite=Indeed","http://www.rippling.com"
"Senior Software Engineer - EOR","https://www.indeed.com/viewjob?jk=834ca44463ff2cb3","San Francisco, CA, US","2025-05-02","51 to 200","https://ats.rippling.com/rippling/jobs/d00470b6-6fa1-49e6-ab16-83aa3cee442d?jobSite=Indeed","http://www.rippling.com"
"Senior Software Engineer","https://www.indeed.com/viewjob?jk=9bb987722e620e75","Santa Clara, CA, US","2025-05-01","10,000+","https://careers.microsoft.com/us/en/job/1820517/Senior-Software-Engineer?jobsource=indeed&utm_source=Job%20Board&utm_campaign=indeed-feed","http://www.microsoft.com/"
"Principal DPU Software Engineer – Secure Enclave","https://www.indeed.com/viewjob?jk=132570aed8ba3d6d","Santa Clara, CA, US","2025-05-01","10,000+","https://careers.microsoft.com/us/en/job/1820522/Principal-DPU-Software-Engineer-Secure-Enclave?jobsource=indeed&utm_source=Job%20Board&utm_campaign=indeed-feed","http://www.microsoft.com/"
