"title","job_url","location","date_posted","num_employees","job_url_direct","company_url_direct"
"Entry Level Software Developer","https://www.indeed.com/viewjob?jk=2199c1663b91573b","Los Angeles, CA, US","2025-05-05","11 to 50","https://www.propertymatrix.com/careers/entry-level-software-developer?source=Indeed","https://www.propertymatrix.com"
"Entry Level Software Developer","https://www.indeed.com/viewjob?jk=6a946950428d24dc","Culver City, CA, US","2025-05-05","11 to 50","https://www.propertymatrix.com/careers/entry-level-software-developer?source=Indeed","https://www.propertymatrix.com"
"Exterior Design release Engineer","https://www.indeed.com/viewjob?jk=5fa9538ed262400e","Irvine, CA, US","2025-05-05","","http://www.indeed.com/job/exterior-design-release-engineer-5fa9538ed262400e",""
"Software Engineer - Product Design (Founding Team)","https://www.indeed.com/viewjob?jk=51cb2cf3579a26d0","Los Angeles, CA, US","2025-05-05","","http://www.indeed.com/job/software-engineer-product-design-founding-team-51cb2cf3579a26d0",""
"Lead Software Engineer","https://www.indeed.com/viewjob?jk=c95dcd24e0b1eca1","Venice, CA, US","2025-05-05","","https://jobs.sprockets.ai/superfiliate/jobs/ed041e29-2df4-4125-ba50-698830727a88?source=indeed_integration",""
"Hardware Systems Software Engineer","https://www.indeed.com/viewjob?jk=acaea8f0310fabe2","San Diego, CA, US","2025-05-05","11 to 50","http://www.indeed.com/job/hardware-systems-software-engineer-acaea8f0310fabe2","https://www.itechstack.com"
"Exterior Design release Engineer","https://www.indeed.com/viewjob?jk=05cddfc271f47d8b","Irvine, CA, US","2025-05-05","","http://www.indeed.com/job/exterior-design-release-engineer-05cddfc271f47d8b",""
"Exterior Design release Engineer","https://www.indeed.com/viewjob?jk=ab1c80b7eaf548c5","Irvine, CA, US","2025-05-05","","http://www.indeed.com/job/exterior-design-release-engineer-ab1c80b7eaf548c5",""
"Lighting Design release Engineer","https://www.indeed.com/viewjob?jk=ebf747f44680fcd1","Irvine, CA, US","2025-05-05","","http://www.indeed.com/job/lighting-design-release-engineer-ebf747f44680fcd1",""
"Exterior Design release Engineer","https://www.indeed.com/viewjob?jk=d700ccc7cea8b16a","Irvine, CA, US","2025-05-05","","http://www.indeed.com/job/exterior-design-release-engineer-d700ccc7cea8b16a",""
"Sr. Android Developer","https://www.indeed.com/viewjob?jk=5d3be1d8541dfc8c","Los Angeles, CA, US","2025-05-05","","http://www.indeed.com/job/sr-android-developer-5d3be1d8541dfc8c",""
"Senior Software Engineer","https://www.indeed.com/viewjob?jk=2f3fca9fa49b1c6c","Carlsbad, CA, US","2025-05-04","501 to 1,000","https://hmeukg.rec.pro.ukg.net/HME1500HMEN/JobBoard/616b8ff0-9933-405d-9892-26f121d3a657/OpportunityDetail?opportunityId=388c433d-4d86-430e-a604-9b54403a6f71&postingId=50943876-ddea-4668-b719-ab1a7078623b","http://www.hme.com/qsr/careers/"
"Software Engineer I","https://www.indeed.com/viewjob?jk=b0ed7951b69a0f61","Bakersfield, CA, US","2025-05-04","Decline to state","https://careers-grimmway.icims.com/jobs/20239/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f",""
"Application Developer","https://www.indeed.com/viewjob?jk=96203e34dbac9326","Agoura Hills, CA, US","2025-05-04","1,001 to 5,000","https://careers.pennymac.com/jobs/33531/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f","http://www.pennymac.com"
"Senior Software Engineer II (Remote)","https://www.indeed.com/viewjob?jk=fb9a94f62041d53a","San Diego, CA, US","2025-05-04","","https://grnh.se/14476bf75us",""
"Software Engineer (Site Reliability / Machine Learning)","https://www.indeed.com/viewjob?jk=3796aa9765d1192e","Encinitas, CA, US","2025-05-04","501 to 1,000","https://grnh.se/79fd6a003us","https://www.flockfreight.com/"
"Site Reliability Engineer","https://www.indeed.com/viewjob?jk=1de815c3e5a292dd","Irvine, CA, US","2025-05-04","1,001 to 5,000","https://jobs.lever.co/goodleap/82480296-d5a3-4569-9de3-b04ca63c351f?lever-source=Indeed","http://www.goodleap.com"
"Sr. Software Engineer","https://www.indeed.com/viewjob?jk=6d6516511cff1367","San Diego, CA, US","2025-05-04","5,001 to 10,000","https://illumina.wd1.myworkdayjobs.com/en-US/illumina-careers/job/US---California---San-Diego/Sr-Software-Engineer_40344-JOB","https://www.illumina.com/company/careers.html"
"Senior Software Engineer","https://www.indeed.com/viewjob?jk=d74784285ba3caf6","Los Angeles, CA, US","2025-05-04","11 to 50","https://phg.tbe.taleo.net/phg03/ats/careers/v2/viewRequisition?org=CAUSCAPI&cws=37&rid=167","http://www.causewaycap.com"
"Principal Software Engineer, EW","https://www.indeed.com/viewjob?jk=57cfeade520e0047","Costa Mesa, CA, US","2025-05-04","501 to 1,000","https://grnh.se/9830b62c7us","http://www.anduril.com"
"Staff Software Engineer","https://www.indeed.com/viewjob?jk=2d1fafb12642fcb5","Los Angeles, CA, US","2025-05-04","11 to 50","https://grnh.se/54b996a05us","http://www.luminategroup.com"
"Firmware/Software Design Engineer","https://www.indeed.com/viewjob?jk=57d88937b695d77d","San Diego, CA, US","2025-05-04","2 to 10","https://www.clearancejobs.com/jobs/8321367/firmwaresoftware-design-engineer","https://www.dharacg.com"
"Senior Automation Engineer, ARS-OXR1-RME","https://www.indeed.com/viewjob?jk=d400396a8c1e9fb5","Oxnard, CA, US","2025-05-04","10,000+","https://www.amazon.jobs/jobs/2973822/senior-automation-engineer-arsoxrrme?cmpid=DA_INAD200785B","https://www.amazon.jobs"
"Principal Software Engineering - WindowsOS Platform","https://www.indeed.com/viewjob?jk=824bcf50d1ce34c0","San Diego, CA, US","2025-05-04","10,000+","https://careers.qualcomm.com/careers/job/446705659517?domain=qualcomm.com","https://www.qualcomm.com/company/careers"
"PCIe Embedded Software Engineer, Senior","https://www.indeed.com/viewjob?jk=1718e9c39354f886","San Diego, CA, US","2025-05-04","10,000+","https://careers.qualcomm.com/careers/job/446705659651?domain=qualcomm.com","https://www.qualcomm.com/company/careers"
"Staff Embedded Software Engineer – Storage Memory","https://www.indeed.com/viewjob?jk=bcf5ced24f0031b7","San Diego, CA, US","2025-05-04","10,000+","https://careers.qualcomm.com/careers/job/446705660052?domain=qualcomm.com","https://www.qualcomm.com/company/careers"
"Software Engineer Manager","https://www.indeed.com/viewjob?jk=7bcd62a83fe71257","Costa Mesa, CA, US","2025-05-04","501 to 1,000","https://grnh.se/44bf64a37us","http://www.anduril.com"
"Robotics Software Engineer","https://www.indeed.com/viewjob?jk=1daa1202f379e28a","Burbank, CA, US","2025-05-04","","https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=5f54061b-30da-4865-9231-dcc10cb67cbe&ccId=19000101_000001&jobId=559891&source=IN&lang=en_US",""
"Software Engineer II (Power On)","https://www.indeed.com/viewjob?jk=e88a29fadd78862a","Santa Ana, CA, US","2025-05-04","201 to 500","https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=0e384b78-7d58-4f1c-939b-a42c67ee25be&ccId=19000101_000001&jobId=502661&source=IN&lang=en_US","http://www.orangecountyscu.org"
"Software Engineer, Android","https://www.indeed.com/viewjob?jk=4df3ed7053749d56","Los Angeles, CA, US","2025-05-04","201 to 500","https://job-boards.greenhouse.io/calm/jobs/7983204002","http://www.calm.com"
"Software Engineer, iOS","https://www.indeed.com/viewjob?jk=5ac9efaacf855782","Los Angeles, CA, US","2025-05-04","201 to 500","https://job-boards.greenhouse.io/calm/jobs/7983209002","http://www.calm.com"
"Senior Software Engineer, Backend","https://www.indeed.com/viewjob?jk=d847332c7da85b56","Los Angeles, CA, US","2025-05-04","51 to 200","https://fox.wd1.myworkdayjobs.com/en-US/Domestic/job/Los-Angeles-California-USA/Senior-Software-Engineer--Backend_R50028675","https://www.foxcorporation.com/"
"Software Engineer - Service Abstractions","https://www.indeed.com/viewjob?jk=66874079536f5fae","Costa Mesa, CA, US","2025-05-04","501 to 1,000","https://grnh.se/6190f5497us","http://www.anduril.com"
"Embedded Software Engineer, EW","https://www.indeed.com/viewjob?jk=f5452c5ef7b57df2","Costa Mesa, CA, US","2025-05-04","501 to 1,000","https://grnh.se/6e19db257us","http://www.anduril.com"
"Senior Systems Software Engineer","https://www.indeed.com/viewjob?jk=6bc43141fd8b0db6","San Diego, CA, US","2025-05-04","","https://grnh.se/7eab49066us",""
"Front End Software Engineer Intern","https://www.indeed.com/viewjob?jk=25dec298e1430901","Irvine, CA, US","2025-05-04","1,001 to 5,000","https://grnh.se/126eb9ef3us","http://www.iherb.com"
