"title","job_url","location","date_posted","num_employees","job_url_direct","company_url_direct"
"Lead Software Engineer - Adobe Experience Platform","https://www.indeed.com/viewjob?jk=380bbd3770943d5d","San Francisco, CA, US","2025-05-05","10,000+","https://tnl2.jometer.com/v2/job?jz=581jnb48a01c1bad311a06b76be1edaf065b6CMAAKAAAAABQ&utm_source=joveo&publisher=Indeed-organic","https://www.wellsfargojobs.com/en/well-life/"
"Staff Software Engineer, Machine Management System","https://www.indeed.com/viewjob?jk=a96904898510f366","Sunnyvale, CA, US","2025-05-05","10,000+","https://careers.google.com/jobs/results/133458897896645318-staff-software-engineer/","http://goo.gle/3ygdkgv"
"Sr Software Engineer (Prisma Access SASE)","https://www.indeed.com/viewjob?jk=94f581ed333ad3e4","Santa Clara, CA, US","2025-05-05","10,000+","https://jobs.smartrecruiters.com/PaloAltoNetworks2/744000057742420-sr-software-engineer-prisma-access-sase-","https://jobs.paloaltonetworks.com/"
"Software Engineer - NGFW","https://www.indeed.com/viewjob?jk=b52066b8dd9bf7aa","Santa Clara, CA, US","2025-05-05","10,000+","https://jobs.smartrecruiters.com/PaloAltoNetworks2/744000057712685-software-engineer-ngfw","https://jobs.paloaltonetworks.com/"
"Automotive Full Stack Software Engineer","https://www.indeed.com/viewjob?jk=e998cb750b6a8d28","Palo Alto, CA, US","2025-05-05","","http://www.indeed.com/job/automotive-full-stack-software-engineer-e998cb750b6a8d28","https://www.calanceus.com/"
"Senior Software Engineer - EOR","https://www.indeed.com/viewjob?jk=a2f7ac0bc133f6ed","San Francisco, CA, US","2025-05-05","51 to 200","https://ats.rippling.com/rippling/jobs/d00470b6-6fa1-49e6-ab16-83aa3cee442d?jobSite=Indeed","http://www.rippling.com"
"Staff Engineer Software","https://www.indeed.com/viewjob?jk=d48842b5b76f2e46","Santa Clara, CA, US","2025-05-05","10,000+","https://jobs.smartrecruiters.com/PaloAltoNetworks2/744000057684645-staff-engineer-software","https://jobs.paloaltonetworks.com/"
"Senior Full Stack Software Engineer","https://www.indeed.com/viewjob?jk=810da1f19ef3b682","Palo Alto, CA, US","2025-05-05","","http://www.indeed.com/job/senior-full-stack-software-engineer-810da1f19ef3b682",""
"Associate Programmer Analyst","https://www.indeed.com/viewjob?jk=9ac70e9af3843208","Livingston, CA, US","2025-05-05","10,000+","https://jobs.smartrecruiters.com/FosterFarms/744000057660514-associate-programmer-analyst","http://jobs.fosterfarms.com"
"Senior Solution Architect/Software Engineer","https://www.indeed.com/viewjob?jk=2497e090c77d23b0","Sacramento, CA, US","2025-05-05","","https://calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=476855",""
"Programmer","https://www.indeed.com/viewjob?jk=ba0bfd9eb3f2b505","Folsom, CA, US","2025-05-05","","http://www.indeed.com/job/programmer-ba0bfd9eb3f2b505",""
"Senior Staff Full-Stack Software Engineer - Horizon Design System","https://www.indeed.com/viewjob?jk=ae9cf6e44d781a3c","Santa Clara, CA, US","2025-05-05","10,000+","https://jobs.smartrecruiters.com/ServiceNow/744000057622506-senior-staff-full-stack-software-engineer-horizon-design-system","http://www.servicenow.com"
"Principal Engineer","https://www.indeed.com/viewjob?jk=b4371c2dec5cf90e","Sunnyvale, CA, US","2025-05-05","","http://www.indeed.com/job/principal-engineer-b4371c2dec5cf90e",""
"Engineering Manager, AI Frameworks & Services","https://www.indeed.com/viewjob?jk=6eaabfba93c1abd4","San Francisco, CA, US","2025-05-04","5,001 to 10,000","https://www.okta.com/company/careers/engineering/engineering-manager-ai-frameworks-services-auth0-6859138/","http://www.okta.com"
"Principal Firmware Engineer, Power Management","https://www.indeed.com/viewjob?jk=46a1b082a297184e","Santa Clara, CA, US","2025-05-04","1,001 to 5,000","https://careers.amperecomputing.com/jobs/16074690-principal-firmware-engineer-power-management?tm_job=AC-2938&tm_event=view&tm_company=12892","http://www.amperecomputing.com"
"Software Test Engineer","https://www.indeed.com/viewjob?jk=66e419e7731b1b7f","Santa Clara, CA, US","2025-05-04","10,000+","https://www.careers.jnj.com/en/jobs/r-010398/software-test-engineer/","https://www.jnj.com"
"Front End Software Engineer","https://www.indeed.com/viewjob?jk=f682e6fe2fa088d0","San Francisco, CA, US","2025-05-04","10,000+","https://wd1.myworkdaysite.com/en-US/recruiting/ssctech/SSCTechnologies/job/San-Francisco-CA/Front-End-Software-Engineer_R33717","https://www.ssctech.com/"
"Release Manager","https://www.indeed.com/viewjob?jk=0cf7dd5e13ad45c9","Santa Clara, CA, US","2025-05-04","","https://ebeg.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/10776/",""
